"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2771","test_edit_course[chromium]","LMS system","Sun Mar 01 10:03:22 UTC 2026","passed","Sun Mar 01 10:03:25 UTC 2026","Courses","Courses","",""
"","1702","Check displaying of dashboard page","LMS system","Sun Mar 01 10:03:24 UTC 2026","passed","Sun Mar 01 10:03:26 UTC 2026","Dashboard","Dashboard","",""
"","1311","Navigation from login page to registration page","LMS system","Sun Mar 01 10:03:18 UTC 2026","passed","Sun Mar 01 10:03:19 UTC 2026","Authorization","Authentication","",""
"","3115","User login with correct email and password","LMS system","Sun Mar 01 10:03:13 UTC 2026","passed","Sun Mar 01 10:03:16 UTC 2026","Authorization","Authentication","",""
"","1967","User login with wrong email or password","LMS system","Sun Mar 01 10:03:13 UTC 2026","passed","Sun Mar 01 10:03:15 UTC 2026","Authorization","Authentication","",""
"","1316","Check displaying of empty courses list","LMS system","Sun Mar 01 10:03:21 UTC 2026","passed","Sun Mar 01 10:03:22 UTC 2026","Courses","Courses","",""
"","1751","User login with wrong email or password","LMS system","Sun Mar 01 10:03:16 UTC 2026","passed","Sun Mar 01 10:03:17 UTC 2026","Authorization","Authentication","",""
"","1547","Registration with correct email, username and password","LMS system","Sun Mar 01 10:03:18 UTC 2026","passed","Sun Mar 01 10:03:20 UTC 2026","Registration","Authentication","",""
"","1570","User login with wrong email or password","LMS system","Sun Mar 01 10:03:17 UTC 2026","passed","Sun Mar 01 10:03:18 UTC 2026","Authorization","Authentication","",""
"","2203","Create course","LMS system","Sun Mar 01 10:03:22 UTC 2026","passed","Sun Mar 01 10:03:24 UTC 2026","Courses","Courses","",""
