"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 07 20:19:07 GMT 2025","Tue Oct 07 20:19:09 GMT 2025","1613","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Oct 07 20:19:05 GMT 2025","Tue Oct 07 20:19:08 GMT 2025","3326","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Oct 07 20:19:05 GMT 2025","Tue Oct 07 20:19:07 GMT 2025","2070","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Oct 07 20:19:09 GMT 2025","Tue Oct 07 20:19:10 GMT 2025","1491","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Oct 07 20:19:17 GMT 2025","Tue Oct 07 20:19:18 GMT 2025","1469","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Oct 07 20:19:10 GMT 2025","Tue Oct 07 20:19:12 GMT 2025","2002","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Oct 07 20:19:09 GMT 2025","Tue Oct 07 20:19:10 GMT 2025","1250","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Oct 07 20:19:14 GMT 2025","Tue Oct 07 20:19:17 GMT 2025","2772","LMS system","Courses","Courses","","","test_edit_course[chromium]",""
"passed","Tue Oct 07 20:19:12 GMT 2025","Tue Oct 07 20:19:14 GMT 2025","1434","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Oct 07 20:19:14 GMT 2025","Tue Oct 07 20:19:17 GMT 2025","2543","LMS system","Courses","Courses","","","Create course",""
